league,method,time_index,regulation_fraction,bin_id,n_games,mean_forecast,observed_rate,gap,bin_lower,bin_upper
nba,locf,11,0.55,9,823,0.9210814094775203,0.8869987849331713,-0.034082624544349925,0.886,0.955
nba,locf,12,0.6000000000000001,9,831,0.9368977135980758,0.9085439229843562,-0.0283537906137184,0.903,0.967
nba,locf,13,0.65,9,826,0.9525605326876516,0.923728813559322,-0.028831719128329304,0.922,0.978
nba,locf,14,0.7000000000000001,9,836,0.9657153110047848,0.9401913875598086,-0.025523923444976063,0.94,0.985
nba,locf,15,0.75,10,871,0.9973777267508722,0.9977037887485649,3.2606199770379105e-4,0.992,1
nba,locf,16,0.8,10,834,0.9986235011990537,1,0.0013764988009592272,0.997,0.999
nba,locf,17,0.8500000000000001,8,815,0.9587153374233129,0.9570552147239264,-0.0016601226993864869,0.926,0.982
nba,locf,18,0.9,9,1692,0.9979674940898507,0.99822695035461,2.594562647754054e-4,0.992,0.999
nba,locf,19,0.95,7,2480,0.9971459677419234,0.9983870967741936,0.001241129032258022,0.982,0.999
nba,linear,0,0,1,825,0.23815757575757557,0.23393939393939395,-0.004218181818181819,0.017,0.315
nba,linear,1,0.05,1,826,0.21647397782871156,0.2360774818401937,0.01960350401148209,0.03192307692307693,0.296
nba,linear,2,0.1,1,826,0.1908865831060287,0.22276029055690072,0.0318737074508717,0.024416666666666666,0.27029411764705885
nba,linear,3,0.15000000000000002,1,826,0.16779246170305484,0.22276029055690072,0.0549678288538458,0.011230769230769226,0.246421052631579
nba,linear,4,0.2,1,826,0.14627739717167343,0.2009685230024213,0.05469112583074775,0.010199999999999999,0.22335294117647064
nba,linear,5,0.25,3,830,0.36478141476798387,0.3674698795180723,0.0026884647500894586,0.31499999999999995,0.413
nba,linear,6,0.30000000000000004,4,826,0.4528330491569252,0.44552058111380144,-0.007312468043123943,0.40371428571428636,0.4994285714285712
nba,linear,8,0.4,5,828,0.5371266942720306,0.5229468599033816,-0.01417983436864871,0.4899999999999999,0.5865
nba,linear,9,0.45,5,827,0.5373690030354977,0.5308343409915357,-0.006534662043962609,0.48224999999999996,0.5892083333333333
nba,linear,10,0.5,5,831,0.5345559566787014,0.5812274368231047,0.04667148014440434,0.479,0.591
nba,linear,12,0.6000000000000001,7,827,0.7611097040811184,0.7424425634824667,-0.01866714059865164,0.7052105263157892,0.8163333333333339
nba,linear,13,0.65,6,826,0.6563869943840308,0.6828087167070218,0.026421722322991018,0.5895833333333331,0.7170625000000003
nba,linear,14,0.7000000000000001,8,826,0.9002101444996818,0.8837772397094431,-0.01643290479023966,0.8574285714285723,0.9403333333333334
nba,linear,15,0.75,9,784,0.9762482152201553,0.9553571428571429,-0.02089107236301112,0.955,0.991
nba,linear,16,0.8,9,828,0.9866005005315125,0.9818840579710145,-0.004716442560497073,0.9706666666666666,0.9966666666666667
nba,linear,17,0.8500000000000001,9,831,0.9929786422587448,0.9915764139590855,-0.001402228299657592,0.983,0.9989333333333333
nba,locf,0,0,1,825,0.23815757575757557,0.23393939393939395,-0.004218181818181819,0.017,0.315
nba,locf,1,0.05,1,824,0.216864077669903,0.23786407766990292,0.020999999999999963,0.031,0.297
nba,locf,2,0.1,1,818,0.19058435207823943,0.21882640586797067,0.02824205378973106,0.024,0.269
nba,locf,3,0.15000000000000002,1,822,0.16782116788321153,0.22141119221411193,0.053590024330900266,0,0.245
nba,locf,4,0.2,1,823,0.14637424058323215,0.2065613608748481,0.06018712029161598,0.011,0.224
nba,locf,5,0.25,3,830,0.36480240963855526,0.3674698795180723,0.0026674698795180643,0.31499999999999995,0.413
nba,locf,6,0.30000000000000004,4,824,0.45246359223301136,0.4550970873786408,0.00263349514563108,0.404,0.499
nba,locf,8,0.4,5,823,0.5371603888213852,0.5066828675577156,-0.030477521263669514,0.49,0.5840000000000001
nba,locf,9,0.45,5,826,0.5362058111380137,0.5423728813559322,0.00616707021791769,0.483,0.5880000000000001
nba,locf,10,0.5,5,824,0.5350279126213603,0.5788834951456311,0.043855582524271845,0.48,0.591
nba,locf,12,0.6000000000000001,7,834,0.7594964028776963,0.7482014388489209,-0.01129496402877699,0.705,0.815
nba,locf,13,0.65,6,822,0.6566021897810221,0.6788321167883211,0.022229927007299272,0.591,0.717
nba,locf,14,0.7000000000000001,8,822,0.8992688564476883,0.8795620437956204,-0.019706812652068143,0.856,0.939
nba,locf,15,0.75,9,784,0.9762691326530625,0.9553571428571429,-0.020911989795918347,0.955,0.991
nba,locf,16,0.8,9,826,0.9861973365617449,0.9782082324455206,-0.00798910411622275,0.971,0.996
nba,locf,17,0.8500000000000001,9,1671,0.9958450029922321,0.995212447636146,-6.325553560742215e-4,0.983,0.999
nba,locf,18,0.9,8,793,0.9769773013871382,0.9823455233291298,0.005368221941992449,0.955,0.991
nba,linear,0,0,9,829,0.785179734620023,0.7563329312424608,-0.028846803377563335,0.754,0.82
nba,linear,1,0.05,9,828,0.794580374996081,0.7898550724637681,-0.0047253025323142255,0.761,0.831875
nba,linear,2,0.1,8,826,0.742320953682111,0.7142857142857143,-0.028035239396397474,0.7118888888888888,0.7743684210526316
nba,linear,3,0.15000000000000002,9,827,0.8239542415827491,0.7968561064087062,-0.02709813517404404,0.7892222222222222,0.8608095238095238
