league,method,time_index,regulation_fraction,bin_id,n_games,mean_forecast,observed_rate,gap,bin_lower,bin_upper
nfl,locf,7,0.35000000000000003,9,185,0.8347762162162157,0.8540540540540541,0.019277837837837833,0.794,0.8794
nfl,locf,8,0.4,9,185,0.8403389189189183,0.8648648648648649,0.02452594594594595,0.804,0.882
nfl,locf,9,0.45,9,185,0.863391891891892,0.8864864864864865,0.0230945945945946,0.8225,0.9023
nfl,locf,10,0.5,7,185,0.7224524324324325,0.7297297297297297,0.007277297297297294,0.671,0.7773
nfl,locf,11,0.55,8,185,0.83184,0.8702702702702703,0.038430270270270274,0.785,0.8723
nfl,locf,12,0.6000000000000001,8,187,0.8485000000000001,0.9090909090909091,0.06059090909090911,0.797,0.888
nfl,locf,13,0.65,8,185,0.8633027027027022,0.8918918918918919,0.028589189189189217,0.8181,0.9086
nfl,locf,14,0.7000000000000001,8,185,0.8724286486486487,0.9027027027027027,0.030274054054054034,0.8258,0.9174
nfl,locf,15,0.75,7,185,0.7812432432432429,0.772972972972973,-0.00827027027027027,0.7174,0.846
nfl,locf,16,0.8,5,185,0.49647405405405376,0.4864864864864865,-0.009987567567567577,0.393,0.5826
nfl,locf,17,0.8500000000000001,4,185,0.289430810810811,0.2648648648648649,-0.024565945945945945,0.2041,0.385
nfl,locf,18,0.9,4,185,0.2777502702702703,0.2702702702702703,-0.007480000000000002,0.179,0.38169999999999993
nfl,locf,19,0.95,3,185,0.23395351351351357,0.21621621621621623,-0.017737297297297307,0.14870000000000003,0.3349
nfl,linear,0,0,4,186,0.48302473118279526,0.5053763440860215,0.022351612903225817,0.457,0.5068
nfl,linear,1,0.05,3,185,0.41964087921530246,0.3837837837837838,-0.03585709543151845,0.39184736842105267,0.44759999999999994
nfl,linear,2,0.1,3,185,0.41015139578243176,0.3891891891891892,-0.02096220659324251,0.3721454545454545,0.4423846153846154
nfl,linear,4,0.2,2,185,0.29771223704802685,0.24324324324324326,-0.05446899380478355,0.2577,0.339225
nfl,linear,5,0.25,4,185,0.453427027027027,0.4540540540540541,6.270270270270414e-4,0.4135,0.49
nfl,linear,7,0.35000000000000003,7,185,0.6819953012423549,0.6702702702702703,-0.011725030972084391,0.64517777777777785,0.717
nfl,linear,8,0.4,8,185,0.7661577892743119,0.7783783783783784,0.012220589104066598,0.7233157894736842,0.8041428571428573
nfl,linear,9,0.45,8,185,0.78270965291256,0.8432432432432433,0.06053359033068317,0.7386470588235295,0.8239647058823529
nfl,linear,11,0.55,6,185,0.6239934583659761,0.5891891891891892,-0.034804269176787125,0.5678636363636363,0.6817499999999997
nfl,linear,12,0.6000000000000001,7,185,0.7432004840307621,0.7189189189189189,-0.02428156511184337,0.6867142857142856,0.7988731707317073
nfl,linear,13,0.65,7,185,0.7524659141071282,0.7567567567567568,0.004290842649628382,0.6858297297297297,0.8145681818181818
nfl,linear,15,0.75,6,185,0.6486735135135137,0.654054054054054,0.005380540540540542,0.575,0.716
nfl,linear,16,0.8,7,185,0.7994398585764202,0.8108108108108109,0.011370952234390688,0.7395822222222224,0.8661904761904762
nfl,linear,17,0.8500000000000001,7,185,0.8300571697140811,0.8216216216216217,-0.00843554809245948,0.7592857142857142,0.8973840909090914
nfl,linear,18,0.9,7,185,0.850801105611048,0.827027027027027,-0.023774078584020683,0.7836969696969699,0.9218181818181819
nfl,linear,19,0.95,8,373,0.9989426246884283,1,0.001057375311576559,0.998,0.999
nfl,locf,0,0,4,186,0.48302473118279526,0.5053763440860215,0.022351612903225817,0.457,0.5068
nfl,locf,1,0.05,3,185,0.41993837837837844,0.3621621621621622,-0.0577762162162162,0.3934,0.4464
nfl,locf,2,0.1,4,184,0.4767456521739132,0.45652173913043476,-0.020223913043478283,0.4477,0.5085
nfl,locf,3,0.15000000000000002,3,184,0.3976896739130436,0.4076086956521739,0.009919021739130427,0.3606,0.4326
nfl,locf,4,0.2,2,184,0.29822826086956505,0.266304347826087,-0.03192391304347826,0.2568,0.3459
nfl,locf,5,0.25,4,185,0.453427027027027,0.4540540540540541,6.270270270270414e-4,0.4135,0.49
nfl,locf,6,0.30000000000000004,6,185,0.5990713513513514,0.5621621621621622,-0.03690918918918917,0.5649,0.6331
nfl,locf,8,0.4,8,185,0.7656708108108107,0.772972972972973,0.00730216216216216,0.7257,0.803
nfl,locf,9,0.45,8,185,0.7817924324324331,0.8432432432432433,0.06145081081081079,0.739,0.822
nfl,locf,11,0.55,6,187,0.6239406417112298,0.5828877005347594,-0.041052941176470584,0.5699999999999998,0.6812
nfl,locf,12,0.6000000000000001,7,183,0.7430934426229506,0.7486338797814208,0.005540437158469942,0.6867,0.7962
nfl,locf,13,0.65,7,185,0.7513789189189186,0.7567567567567568,0.005377837837837837,0.6857,0.818
nfl,locf,15,0.75,6,185,0.6486735135135137,0.654054054054054,0.005380540540540542,0.575,0.716
nfl,locf,16,0.8,7,185,0.8016908108108113,0.8054054054054054,0.003714594594594597,0.7403,0.86240000000000006
nfl,locf,17,0.8500000000000001,7,185,0.8249697297297302,0.8594594594594595,0.03448972972972973,0.761,0.888
nfl,locf,18,0.9,7,185,0.8490832432432432,0.8216216216216217,-0.027461621621621628,0.7763,0.9215
nfl,locf,19,0.95,8,375,0.9989496000000051,1,0.0010504000000000006,0.998,0.999
nfl,linear,0,0,8,188,0.6810292553191489,0.7021276595744681,0.02109840425531915,0.656,0.71
nfl,linear,1,0.05,9,185,0.7574967221773208,0.7783783783783784,0.020881656201057384,0.7236153846153845,0.7942117647058824
nfl,linear,2,0.1,8,185,0.7035340434721656,0.7135135135135136,0.009979470041348543,0.6722068965517242,0.7358125
nfl,linear,3,0.15000000000000002,8,185,0.7086363626225597,0.6972972972972973,-0.011339065325262273,0.677739534883721,0.7403357664233576
nfl,linear,4,0.2,9,186,0.789236664553061,0.8279569892473119,0.03872032469425076,0.749,0.83374
nfl,linear,5,0.25,9,186,0.8096849462365594,0.8333333333333334,0.023648387096774193,0.771,0.8535
nfl,linear,7,0.35000000000000003,8,185,0.7541686426186357,0.7837837837837838,0.029615141165147917,0.7171846153846153,0.7917266666666666
nfl,linear,8,0.4,7,185,0.6881738666545074,0.6756756756756757,-0.012498190978831801,0.6516744186046511,0.7230215686274509
nfl,linear,9,0.45,7,185,0.694590979297501,0.6864864864864865,-0.008104492811014259,0.6502410714285715,0.7386307692307692
nfl,linear,10,0.5,8,185,0.8205729729729726,0.8324324324324325,0.011859459459459454,0.779,0.8636
nfl,linear,12,0.6000000000000001,9,185,0.9253966461739771,0.9135135135135135,-0.011883132660463893,0.8906000000000002,0.960241379310345
nfl,linear,13,0.65,9,185,0.9404374384606031,0.9297297297297298,-0.010707708730873226,0.9070075000000001,0.9689896551724138
nfl,linear,14,0.7000000000000001,9,185,0.9516767688169415,0.9459459459459459,-0.0057308228709951215,0.9157272727272727,0.9772
nfl,linear,15,0.75,8,183,0.8927497267759563,0.9398907103825137,0.04714098360655739,0.8464,0.9338
nfl,linear,16,0.8,8,185,0.9119085968818961,0.9135135135135135,0.0016049166316172813,0.8667142857142855,0.9497842105263159
nfl,linear,18,0.9,8,185,0.9618719242743795,0.9567567567567568,-0.005115167517623053,0.9219047619047618,0.9863142857142857
nfl,linear,19,0.95,6,185,0.8898529273306145,0.8756756756756757,-0.014177251654938359,0.8117674418604652,0.956
nfl,locf,0,0,8,188,0.6810292553191489,0.7021276595744681,0.02109840425531915,0.656,0.71
nfl,locf,1,0.05,8,185,0.6931091891891891,0.7081081081081081,0.014998918918918943,0.663,0.722
nfl,locf,2,0.1,7,184,0.6421108695652172,0.592391304347826,-0.04971956521739133,0.615,0.6708
nfl,locf,3,0.15000000000000002,8,184,0.7089923913043481,0.6793478260869565,-0.02964456521739128,0.679,0.739
nfl,locf,4,0.2,10,185,0.8863097297297294,0.8972972972972973,0.010987567567567568,0.829,0.98
nfl,locf,5,0.25,9,186,0.8096849462365594,0.8333333333333334,0.023648387096774193,0.771,0.8535
nfl,locf,7,0.35000000000000003,8,184,0.7531423913043479,0.7880434782608695,0.03490108695652176,0.7189,0.7923
nfl,locf,8,0.4,7,185,0.6855205405405401,0.6702702702702703,-0.015250270270270283,0.6526,0.724
nfl,locf,9,0.45,7,186,0.6932602150537641,0.6881720430107527,-0.005088172043010738,0.648,0.738
nfl,locf,10,0.5,8,185,0.8205729729729726,0.8324324324324325,0.011859459459459454,0.779,0.8636
nfl,locf,11,0.55,7,184,0.7333309782608693,0.717391304347826,-0.015939673913043472,0.6813,0.7833
nfl,locf,12,0.6000000000000001,9,185,0.9251421621621622,0.9081081081081082,-0.01703405405405407,0.8884,0.9591
nfl,locf,13,0.65,9,185,0.9393924324324324,0.9243243243243243,-0.015068108108108097,0.909,0.968
nfl,locf,14,0.7000000000000001,9,185,0.9518756756756763,0.9405405405405406,-0.011335135135135137,0.918,0.978
nfl,locf,15,0.75,8,183,0.8927497267759563,0.9398907103825137,0.04714098360655739,0.8464,0.9338
nfl,locf,16,0.8,8,185,0.9109881081081088,0.9135135135135135,0.0025254054054053955,0.8632,0.9475
nfl,locf,18,0.9,8,185,0.9605891891891882,0.9567567567567568,-0.003832432432432439,0.923,0.9845
nfl,locf,19,0.95,7,181,0.985553591160221,0.9723756906077348,-0.013177900552486185,0.954,0.9979
nfl,linear,0,0,9,185,0.74646972972973,0.7405405405405405,-0.005929189189189186,0.7105,0.785
nfl,linear,2,0.1,9,185,0.7720001789563886,0.7675675675675676,-0.0044326113888210955,0.736,0.8104605263157895
nfl,linear,3,0.15000000000000002,10,185,0.8737060695652225,0.8918918918918919,0.01818582232666977,0.8167777777777777,0.9793421052631579
nfl,linear,10,0.5,10,186,0.96996129032258,0.9731182795698925,0.0031569892473118353,0.9392,0.998
nfl,linear,11,0.55,9,185,0.9126172949988901,0.9243243243243243,0.011707029325433944,0.8729947368421053,0.9465285714285715
nfl,linear,13,0.65,10,185,0.988128952967271,0.9945945945945946,0.0064656416273236855,0.9695135135135134,0.999
nfl,linear,15,0.75,9,187,0.9619893048128341,0.9625668449197861,5.775401069518858e-4,0.934,0.986
nfl,linear,16,0.8,9,185,0.9743010645917524,0.972972972972973,-0.0013280916187798097,0.9500736842105264,0.9917942307692308
nfl,linear,17,0.8500000000000001,8,185,0.9358481877398362,0.9513513513513514,0.015503163611515073,0.8977,0.9673894736842106
nfl,locf,0,0,9,185,0.74646972972973,0.7405405405405405,-0.005929189189189186,0.7105,0.785
nfl,locf,1,0.05,9,185,0.7564010810810806,0.745945945945946,-0.01045513513513514,0.7224,0.797
nfl,locf,2,0.1,9,185,0.7720956756756753,0.7783783783783784,0.006282702702702698,0.7369,0.8076
nfl,locf,3,0.15000000000000002,10,185,0.8745940540540537,0.8918918918918919,0.017297837837837848,0.8167,0.974
nfl,locf,4,0.2,9,187,0.7899443850267375,0.8235294117647058,0.033585026737967885,0.748,0.828
nfl,locf,10,0.5,10,186,0.96996129032258,0.9731182795698925,0.0031569892473118353,0.9392,0.998
nfl,locf,11,0.55,9,186,0.909911827956989,0.9139784946236559,0.004066666666666662,0.873,0.9458
nfl,locf,13,0.65,10,185,0.9875751351351352,0.9945945945945946,0.007019459459459464,0.9684,0.999
nfl,locf,15,0.75,9,187,0.96208288770053485,0.9625668449197861,4.8395721925135066e-4,0.934,0.986
nfl,locf,16,0.8,9,185,0.9727470270270268,0.972972972972973,2.2594594594595887e-4,0.948,0.991
nfl,locf,17,0.8500000000000001,8,185,0.932884864864865,0.9351351351351351,0.00225027027027028,0.8898,0.9661
nfl,locf,19,0.95,6,184,0.8869358695652175,0.8804347826086957,-0.0065010869565217426,0.819,0.9535
nfl,linear,0,0,10,185,0.8468524324324329,0.8216216216216217,-0.025230810810810814,0.7855,0.961
nfl,linear,1,0.05,10,185,0.8533360503996519,0.8378378378378378,-0.015498212561813789,0.7945736842105263,0.9749655172413793
nfl,linear,4,0.2,8,184,0.7137859471090122,0.6956521739130435,-0.01813377319596816,0.681825,0.7466046511627906
nfl,linear,5,0.25,8,184,0.7338956521739135,0.7663043478260869,0.03240869565217393,0.6998,0.7703
nfl,linear,6,0.30000000000000004,8,185,0.7478166034996715,0.7027027027027027,-0.04511390079696876,0.7073157894736841,0.7832000000000001
