K,n_loss,curve,t,upper_gap
10000,4966,"K = 10,000",0.15,-0.009484494563028606
10000,4966,"K = 10,000",0.16,-0.009351590817559402
10000,4966,"K = 10,000",0.17,-0.009017317760773247
10000,4966,"K = 10,000",0.18,-0.01069673781715666
10000,4966,"K = 10,000",0.19,-0.010161095449053553
10000,4966,"K = 10,000",0.2,-0.01063229963753523
10000,4966,"K = 10,000",0.21,-0.010902134514699957
10000,4966,"K = 10,000",0.22,-0.008956906967378164
10000,4966,"K = 10,000",0.23,-0.008421264599275058
10000,4966,"K = 10,000",0.24,-0.006677406363270244
10000,4966,"K = 10,000",0.25,-0.00493354812726543
10000,4966,"K = 10,000",0.26,-0.006210229561014913
10000,4966,"K = 10,000",0.27,-0.006882803060813514
10000,4966,"K = 10,000",0.28,-0.0055416834474426024
10000,4966,"K = 10,000",0.29,-0.004200563834071691
10000,4966,"K = 10,000",0.3,-0.004269029399919466
10000,4966,"K = 10,000",0.31,-0.0037333870318163598
10000,4966,"K = 10,000",0.32,-0.003399113975030177
10000,4966,"K = 10,000",0.33,-0.0038703181635118544
10000,4966,"K = 10,000",0.34,-0.0031333064840918246
10000,4966,"K = 10,000",0.35000000000000003,-0.0036045106725734466
10000,4966,"K = 10,000",0.36,-0.0018606524365686883
10000,4966,"K = 10,000",0.37,-0.004144180426902955
10000,4966,"K = 10,000",0.38,-0.007434554973822005
10000,4966,"K = 10,000",0.39,-0.007100281917035822
10000,4966,"K = 10,000",0.4,-0.007168747482883597
10000,4966,"K = 10,000",0.41000000000000003,-0.007237213048731317
10000,4966,"K = 10,000",0.42,-0.007104309303262224
10000,4966,"K = 10,000",0.43,-0.010193314538864295
10000,4966,"K = 10,000",0.44,-0.00945630285944421
10000,4966,"K = 10,000",0.45,-0.007511075312122417
10000,4966,"K = 10,000",0.46,-0.006371325010068429
10000,4966,"K = 10,000",0.47000000000000003,-0.006641159887233183
10000,4966,"K = 10,000",0.48,-0.00489730165122837
10000,4966,"K = 10,000",0.49,-0.004965767217076145
10000,4966,"K = 10,000",0.5,-0.007047925896093488
10000,4966,"K = 10,000",0.51,-0.004498590414820813
10000,4966,"K = 10,000",0.52,-0.003560209424083749
10000,4966,"K = 10,000",0.53,-0.0044341522351992735
10000,4966,"K = 10,000",0.54,-0.005710833668948867
10000,4966,"K = 10,000",0.55,-0.0061820378574304335
10000,4966,"K = 10,000",0.56,-0.005646395489327327
10000,4966,"K = 10,000",0.5700000000000001,-0.004909383809907353
10000,4966,"K = 10,000",0.58,-0.005581957309706009
10000,4966,"K = 10,000",0.59,-0.006858638743455492
10000,4966,"K = 10,000",0.6,-0.007329842931937169
10000,4966,"K = 10,000",0.61,-0.006190092629883237
10000,4966,"K = 10,000",0.62,-0.0038421264599275418
10000,4966,"K = 10,000",0.63,-0.0027023761578734984
10000,4966,"K = 10,000",0.64,-0.002770841723721329
10000,4966,"K = 10,000",0.65,-0.0044502617801046584
10000,4966,"K = 10,000",0.66,-0.002505034232782921
10000,4966,"K = 10,000",0.67,-0.0033789770438984457
10000,4966,"K = 10,000",0.68,-0.0036488119210631442
10000,4966,"K = 10,000",0.6900000000000001,-0.002509061619009212
10000,4966,"K = 10,000",0.7000000000000001,-0.0033830044301247364
10000,4966,"K = 10,000",0.71,-0.002041884816753936
10000,4966,"K = 10,000",0.72,-0.0035199355618203976
10000,4966,"K = 10,000",0.73,-0.002782923882400312
10000,4966,"K = 10,000",0.74,-0.0028513894482481428
10000,4966,"K = 10,000",0.75,-0.0023157470801450364
10000,4966,"K = 10,000",0.76,-7.73258155457146e-4
10000,4966,"K = 10,000",0.77,-4.389850986709076e-4
10000,4966,"K = 10,000",0.78,-3.060813532017592e-4
10000,4966,"K = 10,000",0.79,-3.745469190494788e-4
10000,4966,"K = 10,000",0.8,-0.0032621828433346822
10000,4966,"K = 10,000",0.81,-0.002927909786548444
10000,4966,"K = 10,000",0.8200000000000001,-0.0023922674184453374
10000,4966,"K = 10,000",0.8300000000000001,-0.005078534031413562
10000,4966,"K = 10,000",0.84,-0.0033346757954088035
10000,4966,"K = 10,000",0.85,-0.00400724929520746
10000,4966,"K = 10,000",0.86,-0.0028674989931534167
10000,4966,"K = 10,000",0.87,-7.209021345147004e-4
10000,4966,"K = 10,000",0.88,0.002029802658074953
10000,4966,"K = 10,000",0.89,0.0027668143374949272
10000,4966,"K = 10,000",0.9,0.0037051953282319916
10000,4966,"K = 10,000",0.91,0.003435360451067293
10000,4966,"K = 10,000",0.92,0.0025614176399516575
10000,4966,"K = 10,000",0.93,0.004103906564639548
10000,4966,"K = 10,000",0.9400000000000001,0.0024244865082562184
10000,4966,"K = 10,000",0.9500000000000001,7.450664518727779e-4
10000,4966,"K = 10,000",0.96,0.0016834474426097312
10000,4966,"K = 10,000",0.97,6.081353201772277e-4
10000,4966,"K = 10,000",0.98,-4.671768022553868e-4
10000,4966,"K = 10,000",0.99,-0.0023479661699556953
10000,4966,"K = 10,000",1,0
100000,5000,"K = 100,000",0,-0.0048
100000,5000,"K = 100,000",0.01,-0.004200000000000001
100000,5000,"K = 100,000",0.02,-0.003599999999999999
100000,5000,"K = 100,000",0.03,-0.0030000000000000027
100000,5000,"K = 100,000",0.04,-0.003599999999999999
100000,5000,"K = 100,000",0.05,-0.002799999999999997
100000,5000,"K = 100,000",0.06,-0.006000000000000005
100000,5000,"K = 100,000",0.07,-0.005199999999999996
100000,5000,"K = 100,000",0.08,-0.004400000000000001
100000,5000,"K = 100,000",0.09,-0.004600000000000007
100000,5000,"K = 100,000",0.1,-0.005199999999999996
100000,5000,"K = 100,000",0.11,-0.0030000000000000027
100000,5000,"K = 100,000",0.12,-0.0032000000000000084
100000,5000,"K = 100,000",0.13,-0.003799999999999998
100000,5000,"K = 100,000",0.14,-0.005599999999999994
100000,5000,"K = 100,000",0.15,-0.0040000000000000036
100000,5000,"K = 100,000",0.16,-0.006399999999999989
100000,5000,"K = 100,000",0.17,-0.005999999999999978
100000,5000,"K = 100,000",0.18,-0.005599999999999994
100000,5000,"K = 100,000",0.19,-0.006599999999999995
100000,5000,"K = 100,000",0.2,-0.005199999999999982
100000,5000,"K = 100,000",0.21,-0.008000000000000007
100000,5000,"K = 100,000",0.22,-0.009199999999999986
100000,5000,"K = 100,000",0.23,-0.00799999999999998
100000,5000,"K = 100,000",0.24,-0.007000000000000006
100000,5000,"K = 100,000",0.25,-0.008000000000000007
100000,5000,"K = 100,000",0.26,-0.007799999999999974
100000,5000,"K = 100,000",0.27,-0.008000000000000007
100000,5000,"K = 100,000",0.28,-0.007999999999999952
100000,5000,"K = 100,000",0.29,-0.006400000000000017
100000,5000,"K = 100,000",0.3,-0.009000000000000008
100000,5000,"K = 100,000",0.31,-0.008599999999999997
