m,curve,t,upper_gap
5,"every 5 updates (K = 1,000)",0.26,-0.05152000000000001
5,"every 5 updates (K = 1,000)",0.27,-0.05127999999999999
5,"every 5 updates (K = 1,000)",0.28,-0.051539999999999975
5,"every 5 updates (K = 1,000)",0.29,-0.051059999999999994
5,"every 5 updates (K = 1,000)",0.3,-0.05021999999999999
5,"every 5 updates (K = 1,000)",0.31,-0.049860000000000015
5,"every 5 updates (K = 1,000)",0.32,-0.05030000000000001
5,"every 5 updates (K = 1,000)",0.33,-0.049839999999999995
5,"every 5 updates (K = 1,000)",0.34,-0.049319999999999975
5,"every 5 updates (K = 1,000)",0.35000000000000003,-0.04835999999999996
5,"every 5 updates (K = 1,000)",0.36,-0.04846
5,"every 5 updates (K = 1,000)",0.37,-0.04832000000000003
5,"every 5 updates (K = 1,000)",0.38,-0.04855999999999999
5,"every 5 updates (K = 1,000)",0.39,-0.04875999999999997
5,"every 5 updates (K = 1,000)",0.4,-0.04827999999999999
5,"every 5 updates (K = 1,000)",0.41000000000000003,-0.04827999999999999
5,"every 5 updates (K = 1,000)",0.42,-0.048339999999999994
5,"every 5 updates (K = 1,000)",0.43,-0.04887999999999998
5,"every 5 updates (K = 1,000)",0.44,-0.04830000000000001
5,"every 5 updates (K = 1,000)",0.45,-0.04741999999999996
5,"every 5 updates (K = 1,000)",0.46,-0.04633999999999999
5,"every 5 updates (K = 1,000)",0.47000000000000003,-0.04558000000000001
5,"every 5 updates (K = 1,000)",0.48,-0.045399999999999996
5,"every 5 updates (K = 1,000)",0.49,-0.04491999999999996
5,"every 5 updates (K = 1,000)",0.5,-0.044440000000000035
5,"every 5 updates (K = 1,000)",0.51,-0.044459999999999944
5,"every 5 updates (K = 1,000)",0.52,-0.044279999999999986
5,"every 5 updates (K = 1,000)",0.53,-0.04455999999999993
5,"every 5 updates (K = 1,000)",0.54,-0.04415999999999998
5,"every 5 updates (K = 1,000)",0.55,-0.04367999999999994
5,"every 5 updates (K = 1,000)",0.56,-0.043099999999999916
5,"every 5 updates (K = 1,000)",0.5700000000000001,-0.04239999999999999
5,"every 5 updates (K = 1,000)",0.58,-0.042380000000000084
5,"every 5 updates (K = 1,000)",0.59,-0.042100000000000026
5,"every 5 updates (K = 1,000)",0.6,-0.04158000000000006
5,"every 5 updates (K = 1,000)",0.61,-0.04066000000000003
5,"every 5 updates (K = 1,000)",0.62,-0.04046000000000005
5,"every 5 updates (K = 1,000)",0.63,-0.039939999999999976
5,"every 5 updates (K = 1,000)",0.64,-0.03986000000000001
5,"every 5 updates (K = 1,000)",0.65,-0.039779999999999927
5,"every 5 updates (K = 1,000)",0.66,-0.039039999999999964
5,"every 5 updates (K = 1,000)",0.67,-0.03871999999999998
5,"every 5 updates (K = 1,000)",0.68,-0.03743999999999992
5,"every 5 updates (K = 1,000)",0.6900000000000001,-0.03637999999999997
5,"every 5 updates (K = 1,000)",0.7000000000000001,-0.035599999999999965
5,"every 5 updates (K = 1,000)",0.71,-0.03434000000000004
5,"every 5 updates (K = 1,000)",0.72,-0.03298000000000001
5,"every 5 updates (K = 1,000)",0.73,-0.03168000000000004
5,"every 5 updates (K = 1,000)",0.74,-0.031079999999999997
5,"every 5 updates (K = 1,000)",0.75,-0.030340000000000034
5,"every 5 updates (K = 1,000)",0.76,-0.029220000000000024
5,"every 5 updates (K = 1,000)",0.77,-0.028039999999999954
5,"every 5 updates (K = 1,000)",0.78,-0.026699999999999946
5,"every 5 updates (K = 1,000)",0.79,-0.026039999999999952
5,"every 5 updates (K = 1,000)",0.8,-0.025519999999999987
5,"every 5 updates (K = 1,000)",0.81,-0.02417999999999998
5,"every 5 updates (K = 1,000)",0.8200000000000001,-0.02389999999999992
5,"every 5 updates (K = 1,000)",0.8300000000000001,-0.02295999999999998
5,"every 5 updates (K = 1,000)",0.84,-0.022419999999999995
5,"every 5 updates (K = 1,000)",0.85,-0.021720000000000073
5,"every 5 updates (K = 1,000)",0.86,-0.020140000000000047
5,"every 5 updates (K = 1,000)",0.87,-0.019100000000000006
5,"every 5 updates (K = 1,000)",0.88,-0.01756000000000002
5,"every 5 updates (K = 1,000)",0.89,-0.01644000000000001
5,"every 5 updates (K = 1,000)",0.9,-0.01539999999999997
5,"every 5 updates (K = 1,000)",0.91,-0.014739999999999975
5,"every 5 updates (K = 1,000)",0.92,-0.013279999999999959
5,"every 5 updates (K = 1,000)",0.93,-0.012459999999999916
5,"every 5 updates (K = 1,000)",0.9400000000000001,-0.010739999999999972
5,"every 5 updates (K = 1,000)",0.9500000000000001,-0.009399999999999964
5,"every 5 updates (K = 1,000)",0.96,-0.00782000000000005
5,"every 5 updates (K = 1,000)",0.97,-0.005680000000000018
5,"every 5 updates (K = 1,000)",0.98,-0.0044399999999999995
5,"every 5 updates (K = 1,000)",0.99,-0.0021400000000000308
5,"every 5 updates (K = 1,000)",1,0
10,"every 10 updates (K = 1,000)",0,-0.0905
10,"every 10 updates (K = 1,000)",0.01,-0.08812
10,"every 10 updates (K = 1,000)",0.02,-0.08594
10,"every 10 updates (K = 1,000)",0.03,-0.08414
10,"every 10 updates (K = 1,000)",0.04,-0.08218
10,"every 10 updates (K = 1,000)",0.05,-0.08159999999999999
10,"every 10 updates (K = 1,000)",0.06,-0.08088000000000001
10,"every 10 updates (K = 1,000)",0.07,-0.08026
10,"every 10 updates (K = 1,000)",0.08,-0.07853999999999998
10,"every 10 updates (K = 1,000)",0.09,-0.07798
10,"every 10 updates (K = 1,000)",0.1,-0.07755999999999999
10,"every 10 updates (K = 1,000)",0.11,-0.07615999999999999
10,"every 10 updates (K = 1,000)",0.12,-0.0759
10,"every 10 updates (K = 1,000)",0.13,-0.07554
10,"every 10 updates (K = 1,000)",0.14,-0.07515999999999998
10,"every 10 updates (K = 1,000)",0.15,-0.07461999999999999
10,"every 10 updates (K = 1,000)",0.16,-0.07463999999999998
10,"every 10 updates (K = 1,000)",0.17,-0.07318
10,"every 10 updates (K = 1,000)",0.18,-0.07288
10,"every 10 updates (K = 1,000)",0.19,-0.07334000000000002
10,"every 10 updates (K = 1,000)",0.2,-0.07323999999999997
10,"every 10 updates (K = 1,000)",0.21,-0.07322000000000004
10,"every 10 updates (K = 1,000)",0.22,-0.07349999999999998
10,"every 10 updates (K = 1,000)",0.23,-0.07277999999999998
10,"every 10 updates (K = 1,000)",0.24,-0.07222
10,"every 10 updates (K = 1,000)",0.25,-0.07213999999999998
10,"every 10 updates (K = 1,000)",0.26,-0.07151999999999997
10,"every 10 updates (K = 1,000)",0.27,-0.07125999999999999
10,"every 10 updates (K = 1,000)",0.28,-0.07099999999999995
10,"every 10 updates (K = 1,000)",0.29,-0.07066
10,"every 10 updates (K = 1,000)",0.3,-0.07032
10,"every 10 updates (K = 1,000)",0.31,-0.06984000000000001
10,"every 10 updates (K = 1,000)",0.32,-0.06944
10,"every 10 updates (K = 1,000)",0.33,-0.06872
10,"every 10 updates (K = 1,000)",0.34,-0.06811999999999996
10,"every 10 updates (K = 1,000)",0.35000000000000003,-0.06777999999999995
10,"every 10 updates (K = 1,000)",0.36,-0.06728
10,"every 10 updates (K = 1,000)",0.37,-0.06709999999999999
10,"every 10 updates (K = 1,000)",0.38,-0.06731999999999999
10,"every 10 updates (K = 1,000)",0.39,-0.06775999999999999
10,"every 10 updates (K = 1,000)",0.4,-0.06777999999999995
10,"every 10 updates (K = 1,000)",0.41000000000000003,-0.06817999999999996
10,"every 10 updates (K = 1,000)",0.42,-0.06758000000000003
10,"every 10 updates (K = 1,000)",0.43,-0.06741999999999998
10,"every 10 updates (K = 1,000)",0.44,-0.06624000000000002
10,"every 10 updates (K = 1,000)",0.45,-0.06549999999999995
10,"every 10 updates (K = 1,000)",0.46,-0.06502000000000002
10,"every 10 updates (K = 1,000)",0.47000000000000003,-0.06380000000000002
10,"every 10 updates (K = 1,000)",0.48,-0.06328
10,"every 10 updates (K = 1,000)",0.49,-0.06281999999999999
10,"every 10 updates (K = 1,000)",0.5,-0.06222000000000005
10,"every 10 updates (K = 1,000)",0.51,-0.06164000000000003
10,"every 10 updates (K = 1,000)",0.52,-0.060919999999999974
10,"every 10 updates (K = 1,000)",0.53,-0.06133999999999995
10,"every 10 updates (K = 1,000)",0.54,-0.0605
10,"every 10 updates (K = 1,000)",0.55,-0.06041999999999992
10,"every 10 updates (K = 1,000)",0.56,-0.05989999999999995
10,"every 10 updates (K = 1,000)",0.5700000000000001,-0.05885999999999991
10,"every 10 updates (K = 1,000)",0.58,-0.05824000000000007
10,"every 10 updates (K = 1,000)",0.59,-0.05818000000000001
10,"every 10 updates (K = 1,000)",0.6,-0.057760000000000034
10,"every 10 updates (K = 1,000)",0.61,-0.05740000000000001
10,"every 10 updates (K = 1,000)",0.62,-0.05674000000000001
10,"every 10 updates (K = 1,000)",0.63,-0.05586000000000002
