"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
401127869,2019,0.68,40,20,0.449,5,0.7,"p0=0.70"
401127870,2019,0.659,22,35,0.762,4,0.65,"p0=0.65"
401127871,2019,0.576,31,24,0.775,3,0.6,"p0=0.60"
401127872,2019,0.603,20,3,0.477,3,0.6,"p0=0.60"
401127893,2019,0.65,27,17,0.713,4,0.65,"p0=0.65"
401127894,2019,0.854,0,33,0.161,8,0.85,"p0=0.85"
401127895,2019,0.851,27,13,0.19,8,0.85,"p0=0.85"
401127896,2019,0.729,17,24,0.745,6,0.75,"p0=0.75"
401127897,2019,0.628,10,17,0.692,4,0.65,"p0=0.65"
401127898,2019,0.815,24,17,0.671,7,0.8,"p0=0.80"
401127899,2019,0.624,37,20,0.639,3,0.6,"p0=0.60"
401127900,2019,0.701,34,31,0.839,5,0.7,"p0=0.70"
401127901,2019,0.542,20,23,0.72,2,0.55,"p0=0.55"
401127902,2019,0.639,6,30,0.51,4,0.65,"p0=0.65"
401127903,2019,0.772,24,12,0.24,6,0.75,"p0=0.75"
401127904,2019,0.786,15,31,0.577,7,0.8,"p0=0.80"
401127905,2019,0.916,19,9,0.275,9,0.9,"p0=0.90"
401127906,2019,0.703,38,6,0.302,5,0.7,"p0=0.70"
401127907,2019,0.505,26,24,0.792,1,0.5,"p0=0.50"
401127908,2019,0.791,25,28,0.434,7,0.8,"p0=0.80"
401127909,2019,0.959,24,27,0.973,10,0.95,"p0=0.95"
401127910,2019,0.506,38,35,0.6,1,0.5,"p0=0.50"
401127911,2019,0.676,20,13,0.62,5,0.7,"p0=0.70"
401127912,2019,0.792,24,10,0.401,7,0.8,"p0=0.80"
401127913,2019,0.578,3,10,0.74,3,0.6,"p0=0.60"
401127914,2019,0.783,19,14,0.704,7,0.8,"p0=0.80"
401127915,2019,0.68,21,17,0.726,5,0.7,"p0=0.70"
401127916,2019,0.904,20,15,0.158,9,0.9,"p0=0.90"
401127917,2019,0.929,35,14,0.208,10,0.95,"p0=0.95"
401127918,2019,0.663,10,16,0.63,4,0.65,"p0=0.65"
401127919,2019,0.865,41,24,0.135,8,0.85,"p0=0.85"
401127920,2019,0.803,24,38,0.833,7,0.8,"p0=0.80"
401127921,2019,0.961,31,6,0.16,10,0.95,"p0=0.95"
401127922,2019,0.828,34,31,0.849,8,0.85,"p0=0.85"
401127923,2019,0.513,27,30,0.572,1,0.5,"p0=0.50"
401127924,2019,0.532,34,3,0.608,2,0.55,"p0=0.55"
401127925,2019,0.679,27,16,0.492,5,0.7,"p0=0.70"
401127926,2019,0.833,20,7,0.18,8,0.85,"p0=0.85"
401127927,2019,0.502,30,29,0.819,1,0.5,"p0=0.50"
401127928,2019,0.568,13,43,0.699,2,0.55,"p0=0.55"
401127929,2019,0.558,27,24,0.458,2,0.55,"p0=0.55"
401127930,2019,0.598,16,23,0.804,3,0.6,"p0=0.60"
401127931,2019,0.584,26,40,0.424,3,0.6,"p0=0.60"
401127932,2019,0.58,34,27,0.504,3,0.6,"p0=0.60"
401127933,2019,0.525,16,10,0.588,2,0.55,"p0=0.55"
401127934,2019,0.765,13,49,0.235,6,0.75,"p0=0.75"
401127935,2019,0.546,28,38,0.834,2,0.55,"p0=0.55"
401127936,2019,0.68,3,26,0.4,5,0.7,"p0=0.70"
401127937,2019,0.51,35,41,0.649,1,0.5,"p0=0.50"
401127938,2019,0.552,17,9,0.613,2,0.55,"p0=0.55"
401127939,2019,0.595,19,16,0.915,3,0.6,"p0=0.60"
401127940,2019,0.506,10,37,0.627,1,0.5,"p0=0.50"
401127941,2019,0.8,13,27,0.882,7,0.8,"p0=0.80"
401127942,2019,0.911,31,21,0.72,9,0.9,"p0=0.90"
401127943,2019,0.718,3,26,0.329,5,0.7,"p0=0.70"
401127944,2019,0.759,24,16,0.453,6,0.75,"p0=0.75"
401127945,2019,0.6,17,27,0.63,3,0.6,"p0=0.60"
401127946,2019,0.682,10,23,0.812,5,0.7,"p0=0.70"
401127947,2019,0.631,30,42,0.591,4,0.65,"p0=0.65"
401127948,2019,0.771,9,26,0.807,6,0.75,"p0=0.75"
401127949,2019,0.721,42,24,0.439,5,0.7,"p0=0.70"
401127950,2019,0.852,28,10,0.352,8,0.85,"p0=0.85"
401127951,2019,0.537,30,23,0.568,2,0.55,"p0=0.55"
401127952,2019,0.563,34,27,0.75,2,0.55,"p0=0.55"
401127953,2019,0.722,33,28,0.493,5,0.7,"p0=0.70"
401127954,2019,0.633,10,59,0.379,4,0.65,"p0=0.65"
401127955,2019,0.856,13,34,0.381,8,0.85,"p0=0.85"
401127956,2019,0.78,34,14,0.249,7,0.8,"p0=0.80"
401127957,2019,0.705,13,9,0.377,5,0.7,"p0=0.70"
401127958,2019,0.563,23,26,0.723,2,0.55,"p0=0.55"
401127959,2019,0.652,24,27,0.748,4,0.65,"p0=0.65"
401127960,2019,0.642,53,32,0.64,4,0.65,"p0=0.65"
401127961,2019,0.594,28,12,0.413,3,0.6,"p0=0.60"
401127962,2019,0.597,20,38,0.763,3,0.6,"p0=0.60"
401127963,2019,0.594,16,17,0.974,3,0.6,"p0=0.60"
401127964,2019,0.538,46,48,0.891,2,0.55,"p0=0.55"
401127965,2019,0.595,31,24,0.545,3,0.6,"p0=0.60"
401127966,2019,0.742,31,32,0.973,6,0.75,"p0=0.75"
401127967,2019,0.541,28,22,0.694,2,0.55,"p0=0.55"
401127968,2019,0.78,32,27,0.845,7,0.8,"p0=0.80"
401127969,2019,0.718,22,21,0.851,5,0.7,"p0=0.70"
