league,sample,weighting,bin_id,bin_lower,bin_upper,n_games,n_updates,mean_forecast,observed_rate,gap,standard_error,simultaneous_critical_value,gap_ci_lower,gap_ci_upper,observed_ci_lower,observed_ci_upper
nfl,all_updates,equal_game,4,0.2,0.25,1002,11467,0.22539995410748584,0.22355289421157684,-0.001847059895908628,0.021988972272269564,2.8338874912968404,-0.0641613333647664,0.060467213572949145,0.16123862074271944,0.28586716768043496
nfl,all_updates,equal_game,5,0.25,0.30000000000000004,1093,12297,0.27588322096822554,0.2799634034766697,0.004080182508443989,0.02231316894835394,2.8338874912968404,-0.0591528278654893,0.06731319288237728,0.21673039310273623,0.34319641385060284
nfl,all_updates,equal_game,6,0.30000000000000004,0.35000000000000003,1148,12867,0.3259756913797521,0.32752613240418116,0.0015504410244292933,0.022468559941386607,2.8338874912968404,-0.06212292994091949,0.06522381198977807,0.2638527614388326,0.39119950336953013
nfl,all_updates,equal_game,7,0.35000000000000003,0.4,1218,13181,0.37615110591638073,0.3784893267651888,0.0023382208488085306,0.022912153858107326,2.8338874912968404,-0.06259224536835047,0.06726868706596752,0.3135588605480303,0.44341979298234824
nfl,all_updates,equal_game,8,0.4,0.45,1275,14252,0.42505077755787707,0.4235294117647059,-0.00152136579317136,0.022549874582509875,2.8338874912968404,-0.06542517330285866,0.06238244171651594,0.35962560425501844,0.487433219274393
nfl,all_updates,equal_game,9,0.45,0.5,1315,15167,0.4755855370744978,0.47756653992395437,0.0019810028494567085,0.023095318359250314,2.8338874912968404,-0.06346853095634102,0.06743053665525443,0.41211700611815677,0.5430160737297522
nfl,all_updates,equal_game,10,0.5,0.55,1339,16059,0.5250217265087394,0.5242718446601942,-7.498818485456976e-4,0.021997574537907474,2.8338874912968404,-0.06308853317039156,0.061588769473300164,0.4619331933383478,0.5866104959820395
nfl,all_updates,equal_game,11,0.55,0.6000000000000001,1352,16184,0.5749179858012579,0.5636094674556213,-0.011308518345636901,0.02173076906930704,2.8338874912968404,-0.07289107298740641,0.0502740362961326,0.5020269128138515,0.6251920220973904
nfl,all_updates,equal_game,12,0.6000000000000001,0.65,1343,15775,0.6249986300156558,0.6001489203276247,-0.024849709688031466,0.02170566199456635,2.8338874912968404,-0.08636111370475028,0.036661694328687336,0.5386375163109055,0.6616603243443432
nfl,all_updates,equal_game,13,0.65,0.7000000000000001,1331,16546,0.6744500186043331,0.6438767843726522,-0.030573234231680298,0.021234732480844298,2.8338874912968404,-0.09075007699017967,0.029603608526819078,0.5836999416141534,0.7040536271311522
nfl,all_updates,equal_game,14,0.7000000000000001,0.75,1269,15575,0.7246647893285016,0.7013396375098503,-0.023325151818651576,0.021027312647363797,2.8338874912968404,-0.08291419010560369,0.03626388646830053,0.641750599222898,0.7609286757968021
nfl,all_updates,equal_game,15,0.75,0.8,1202,15634,0.7742020089958386,0.7462562396006656,-0.027945769395172664,0.020227065567319694,2.8338874912968404,-0.08526699749204097,0.029375458701695643,0.6889350115037975,0.8035774676975342
nfl,all_updates,equal_game,16,0.8,0.8500000000000001,1142,15304,0.8238475420752622,0.8029772329246935,-0.020870309150567683,0.018959378843393423,2.8338874912968404,-0.07459905569761827,0.03285843739648289,0.749248486377644,0.8567059794717451
nfl,all_updates,equal_game,17,0.8500000000000001,0.9,1056,15560,0.8742720029946427,0.8570075757575758,-0.017264427237066955,0.01801944801299548,2.8338874912968404,-0.06832951556116855,0.03380066108703464,0.8059424874334742,0.9080726640816773
nfl,all_updates,equal_game,18,0.9,0.95,984,16100,0.9245437666684552,0.9115853658536586,-0.01295840081479726,0.014670642557196396,2.8338874912968404,-0.05453335124692322,0.0286165496173287,0.8700104154215319,0.9531603162857839
nfl,all_updates,equal_game,19,0.95,1,1037,37133,0.986883018029562,0.9546769527483124,-0.03220606528124955,0.010927146373322184,2.8338874912968404,-0.06317236870417692,-0.0012397618583221796,0.923710649325385,0.9856432561712398
