key,value,formatted,source,league,analysis,sample,estimand
NBAFixedClockLinearSignificantCells,2,2,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,fixed_clock_summary,linear,significant_cells
NBAFranchiseLinkedGlobalD,0.0967563958679785,0.097,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,franchise_linked,D_upper
NBAFranchiseLinkedGlobalP,1e-04,\ensuremath{<0.001},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,franchise_linked,p_value
NBAGames,8276,"8,276",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,corrected,n
NBAGlobalCritical,0.0227589481936564,0.023,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,corrected,critical_value
NBAGlobalD,0.0967563958679785,0.097,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,corrected,D_upper
NBAGlobalDyadicP,1e-04,\ensuremath{<0.001},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,corrected,p_value
NBALOSODMax,0.10165234519478,0.102,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nba,leave_one_season_out,all,D_max
NBALOSODMin,0.093351506809698,0.093,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nba,leave_one_season_out,all,D_min
NBALOSOTailMax,0.0145848119233499,1.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nba,leave_one_season_out,all,tail_max
NBALOSOTailMin,0.0123048538177689,1.2\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nba,leave_one_season_out,all,tail_min
NBALeaveSeasonRows,"2018 & 7,054 & 0.093 & 1.5\% \\
2019 & 7,046 & 0.097 & 1.2\% \\
2020 & 7,223 & 0.094 & 1.3\% \\
2021 & 7,196 & 0.100 & 1.3\% \\
2022 & 7,046 & 0.102 & 1.3\% \\
2023 & 7,046 & 0.093 & 1.2\% \\
2024 & 7,045 & 0.101 & 1.5\% \\","
2018 & 7,054 & 0.093 & 1.5\% \\
2019 & 7,046 & 0.097 & 1.2\% \\
2020 & 7,223 & 0.094 & 1.3\% \\
2021 & 7,196 & 0.100 & 1.3\% \\
2022 & 7,046 & 0.102 & 1.3\% \\
2023 & 7,046 & 0.093 & 1.2\% \\
2024 & 7,045 & 0.101 & 1.5\% \\
",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/leave-one-season-out.csv,nba,leave_one_season_out,season,rows
NBAMedianUpdatesPerGame,466,466,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nba,feed,all,median_updates
NBAMinimumFeedCoverage,0.99349593495935,99.3\%,feed_coverage_by_season.csv,nba,coverage,all,minimum_coverage
NBAMissingCoverageRows,"2018 & 1,222 & 8 & 99.3\% \\
2019 & 1,230 & 0 & 100.0\% \\
2020 & 1,053 & 6 & 99.4\% \\
2021 & 1,080 & 0 & 100.0\% \\
2022 & 1,230 & 0 & 100.0\% \\
2023 & 1,230 & 0 & 100.0\% \\
2024 & 1,231 & 0 & 100.0\% \\","
2018 & 1,222 & 8 & 99.3\% \\
2019 & 1,230 & 0 & 100.0\% \\
2020 & 1,053 & 6 & 99.4\% \\
2021 & 1,080 & 0 & 100.0\% \\
2022 & 1,230 & 0 & 100.0\% \\
2023 & 1,230 & 0 & 100.0\% \\
2024 & 1,231 & 0 & 100.0\% \\
",feed_coverage_by_season.csv,nba,coverage,season,rows
NBAMissingFeedGames,14,14,feed_coverage_by_season.csv,nba,coverage,all,missing_games
NBANonfinalGames,49,49,feed_coverage_by_season.csv,nba,coverage,all,cancelled_or_nonfinal_games
NBAPatchedGames,16,16,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/patch-audit.csv,nba,artifact_audit,exact_one,games
NBAPublishedUpdates,3877820,"3,877,820",/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/fixed-clock-feed-summary.csv,nba,feed,all,updates
NBARawGlobalD,0.0967563958679785,0.097,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,raw,D_upper
NBARawGlobalP,1e-04,\ensuremath{<0.001},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,raw,p_value
NBARoundingLowerGlobalD,0.0952270804331679,0.095,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,rounding_lower,D_upper
NBARoundingLowerGlobalP,1e-04,\ensuremath{<0.001},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,rounding_lower,p_value
