league,analysis,sample,estimand,threshold,estimate,ci_lower,ci_upper,p_value,n,n_games,replicates,seed,note
nba,fixed_clock,linear,gap_t00_bin10,0,-0.03912559808612438,-0.13301376058276823,0.054762564410519465,,836,836,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin01,0.05,0.019603504011482052,-0.09069112079148497,0.1298981288144491,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin02,0.05,0.024695834814062095,-0.09989839979391918,0.14929006942204337,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin03,0.05,-0.002472847846988726,-0.13225275153946164,0.12730705584548418,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin04,0.05,-0.027447018444302244,-0.16247898253358595,0.10758494564498144,,825,825,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin05,0.05,-0.01221951647574156,-0.144299682570555,0.11986064961907188,,828,828,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin06,0.05,-0.026191993379179473,-0.15191423676253596,0.09953025000417702,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin07,0.05,-0.03936076918925323,-0.15919086843149077,0.08046933005298433,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin08,0.05,-0.007361402228917751,-0.12143008694669881,0.10670728248886331,,825,825,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin09,0.05,-0.004725302532314211,-0.10974243533552785,0.10029183027089944,,828,828,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t01_bin10,0.05,-0.04736595874454359,-0.1416990744607342,0.04696715697164704,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin01,0.1,0.03187370745087174,-0.07925292785679439,0.14300034275853785,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin02,0.1,0.03822460786582608,-0.08106620199404915,0.1575154177257013,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin03,0.1,-0.01982894163192014,-0.15124973727354948,0.1115918540097092,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin04,0.1,-0.013648375483031529,-0.14635278678713,0.11905603582106697,,821,821,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin05,0.1,-0.012863915090252009,-0.14095405889406853,0.11522622871356453,,832,832,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin06,0.1,-0.019163391824045087,-0.14284095769377433,0.10451417404568415,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin07,0.1,-0.01474573005653814,-0.1348810720287485,0.10538961191567223,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin08,0.1,-0.028035239396397498,-0.13662875160775387,0.08055827281495888,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin09,0.1,-0.027497355229542282,-0.12889342291709108,0.07389871245800653,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t02_bin10,0.1,-0.03836363748538762,-0.1289237152476934,0.052196440276918145,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin01,0.15000000000000002,0.05496782885384584,-0.05128185308136099,0.16121751078905266,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin02,0.15000000000000002,0.010429480440386076,-0.1048314849011454,0.12569044578191754,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin03,0.15000000000000002,0.01602689343371772,-0.10388887431025766,0.1359426611776931,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin04,0.15000000000000002,0.018235294000654795,-0.12073273168000703,0.15720331968131662,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin05,0.15000000000000002,-0.025283465387511393,-0.16549954897225097,0.11493261819722819,,825,825,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin06,0.15000000000000002,-0.04717367605135364,-0.17276477197054912,0.07841741986784184,,828,828,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin07,0.15000000000000002,-0.008532508067849996,-0.12092957844117037,0.10386456230547038,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin08,0.15000000000000002,-0.03435120525453971,-0.1485763175539521,0.07987390704487266,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin09,0.15000000000000002,-0.027098135174044035,-0.12987080980643265,0.07567453945834457,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t03_bin10,0.15000000000000002,-0.035799236720151104,-0.1196138039918195,0.0480153305515173,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin01,0.2,0.05469112583074769,-0.04823394738485611,0.1576161990463515,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin02,0.2,0.0225530238085917,-0.10273408248639615,0.14784013010357955,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin03,0.2,0.01815585763247825,-0.1086722629817276,0.1449839782466841,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin04,0.2,-0.00656281066380875,-0.1330461231795333,0.11992050185191579,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin05,0.2,0.0041041410156437775,-0.12413472918614872,0.13234301121743627,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin06,0.2,-0.04004688666586479,-0.16522366019289558,0.08512988686116602,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin07,0.2,-0.012010815444392234,-0.12420778465868651,0.10018615376990203,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin08,0.2,-0.015407350134600076,-0.12926013472936954,0.09844543446016937,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin09,0.2,-0.03010603675665905,-0.13071981350095305,0.07050773998763493,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t04_bin10,0.2,-0.026409514629487825,-0.1007709020823904,0.04795187282341474,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin01,0.25,0.04634382566585956,-0.05300705843375384,0.14569470976547297,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin02,0.25,0.04030334377744306,-0.08367134545329798,0.1642780330081841,,823,823,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin03,0.25,0.0026884647500894803,-0.12931915151085943,0.13469608101103842,,830,830,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin04,0.25,-0.005863746958637485,-0.13934028565801387,0.12761279174073892,,822,822,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin05,0.25,-0.0021465201465201357,-0.13523451665300557,0.13094147635996528,,819,819,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin06,0.25,-0.03005515587529979,-0.1584749937741674,0.09836468202356784,,834,834,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin07,0.25,-0.007692400482509035,-0.12176596327725896,0.10638116231224089,,829,829,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin08,0.25,-0.02907246024833625,-0.1485599112174781,0.09041499072080561,,816,816,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin09,0.25,-0.02133173652694607,-0.11868444230848604,0.0760209692545939,,835,835,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t05_bin10,0.25,-0.013791817087845973,-0.08268743367569667,0.05510379950000472,,831,831,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin01,0.30000000000000004,0.033619457710019104,-0.060481298937101524,0.12772021435713973,,824,824,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin02,0.30000000000000004,0.040184686401345066,-0.07446788261458434,0.15483725541727447,,828,828,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin03,0.30000000000000004,0.022842563235146735,-0.09952771192913443,0.1452128383994279,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin04,0.30000000000000004,-0.007312468043123934,-0.13562479888449458,0.1209998627982467,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin05,0.30000000000000004,0.009847122779341022,-0.1217199414476165,0.14141418700629854,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin06,0.30000000000000004,-0.014095061975118934,-0.14061734809151674,0.11242722414127888,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin07,0.30000000000000004,-0.012652886218884206,-0.13256434641523906,0.10725857397747064,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin08,0.30000000000000004,-0.027762699080179642,-0.1374839805483707,0.0819585823880114,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin09,0.30000000000000004,-0.03676033851035255,-0.13967976252569084,0.06615908550498573,,828,828,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t06_bin10,0.30000000000000004,-0.013869780962215007,-0.08136447763012528,0.053624915705695254,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t07_bin01,0.35000000000000003,0.04597738040164395,-0.03956870160500932,0.1315234624082972,,825,825,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t07_bin02,0.35000000000000003,0.02031342070118429,-0.0962409690280817,0.13686781043045027,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t07_bin03,0.35000000000000003,0.022271133491520396,-0.10282997023811992,0.14737223722116072,,827,827,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
nba,fixed_clock,linear,gap_t07_bin04,0.35000000000000003,0.01234734258549269,-0.11875138207924993,0.14344606725023532,,826,826,9999,20260815,One game per fixed time; simultaneous dyadic-bootstrap band
