"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
400975736,2018,0.598,104,94,0.449,3,0.6,"p0=0.60"
400975734,2018,0.566,129,102,0.436,2,0.55,"p0=0.55"
400975733,2018,0.817,122,115,0.357,7,0.8,"p0=0.80"
400975732,2018,0.653,116,102,0.45,4,0.65,"p0=0.65"
400975730,2018,0.588,125,108,0.756,3,0.6,"p0=0.60"
400975731,2018,0.505,94,88,0.505,1,0.5,"p0=0.50"
400975729,2018,0.698,125,116,0.706,5,0.7,"p0=0.70"
400975726,2018,0.603,78,95,0.543,3,0.6,"p0=0.60"
400975727,2018,0.685,120,112,0.511,5,0.7,"p0=0.70"
400975728,2018,0.551,97,116,0.556,2,0.55,"p0=0.55"
400975725,2018,0.569,108,105,0.482,2,0.55,"p0=0.55"
400975723,2018,0.764,99,83,0.664,6,0.75,"p0=0.75"
400975724,2018,0.729,112,87,0.297,6,0.75,"p0=0.75"
400975722,2018,0.77,110,107,0.935,6,0.75,"p0=0.75"
400975720,2018,0.596,109,117,0.669,3,0.6,"p0=0.60"
400975721,2018,0.874,115,87,0.309,8,0.85,"p0=0.85"
400975719,2018,0.511,108,99,0.677,1,0.5,"p0=0.50"
400975718,2018,0.729,111,125,0.784,6,0.75,"p0=0.75"
400975716,2018,0.593,108,113,0.766,3,0.6,"p0=0.60"
400975717,2018,0.687,108,107,0.77,5,0.7,"p0=0.70"
400975715,2018,0.617,101,114,0.441,3,0.6,"p0=0.60"
400975712,2018,0.644,119,121,0.906,4,0.65,"p0=0.65"
400975713,2018,0.517,119,110,0.586,1,0.5,"p0=0.50"
400975714,2018,0.645,99,110,0.43,4,0.65,"p0=0.65"
400975711,2018,0.534,84,104,0.679,2,0.55,"p0=0.55"
400975709,2018,0.95,114,101,0.392,10,0.95,"p0=0.95"
400975710,2018,0.613,116,121,0.796,3,0.6,"p0=0.60"
400975708,2018,0.732,111,87,0.462,6,0.75,"p0=0.75"
400975707,2018,0.542,118,107,0.777,2,0.55,"p0=0.55"
400975706,2018,0.551,112,122,0.675,2,0.55,"p0=0.55"
400975703,2018,0.522,114,128,0.681,1,0.5,"p0=0.50"
400975704,2018,0.91,106,90,0.552,9,0.9,"p0=0.90"
400975705,2018,0.692,117,113,0.603,5,0.7,"p0=0.70"
400975702,2018,0.506,103,108,0.972,1,0.5,"p0=0.50"
400975701,2018,0.789,94,80,0.47,7,0.8,"p0=0.80"
400975700,2018,0.815,100,98,0.704,7,0.8,"p0=0.80"
400975699,2018,0.722,89,105,0.295,5,0.7,"p0=0.70"
400975698,2018,0.837,125,103,0.262,8,0.85,"p0=0.85"
400975696,2018,0.653,112,90,0.603,4,0.65,"p0=0.65"
400975697,2018,0.596,92,89,0.626,3,0.6,"p0=0.60"
400975694,2018,0.775,123,120,0.933,7,0.8,"p0=0.80"
400975695,2018,0.556,102,99,0.571,2,0.55,"p0=0.55"
400975693,2018,0.536,110,98,0.953,2,0.55,"p0=0.55"
400975692,2018,0.549,109,126,0.523,2,0.55,"p0=0.55"
400975690,2018,0.818,103,98,0.357,7,0.8,"p0=0.80"
400975691,2018,0.678,95,98,0.678,5,0.7,"p0=0.70"
400975689,2018,0.699,113,112,0.852,5,0.7,"p0=0.70"
400975687,2018,0.578,108,100,0.641,3,0.6,"p0=0.60"
400975688,2018,0.671,91,98,0.392,4,0.65,"p0=0.65"
400975686,2018,0.783,91,80,1,7,0.8,"p0=0.80"
400975685,2018,0.737,105,108,1,6,0.75,"p0=0.75"
400975683,2018,0.62,117,126,0.678,3,0.6,"p0=0.60"
400975684,2018,0.64,105,96,0.609,4,0.65,"p0=0.65"
400975682,2018,0.594,107,100,0.877,3,0.6,"p0=0.60"
400975680,2018,0.656,116,108,0.524,4,0.65,"p0=0.65"
400975681,2018,0.673,128,105,0.518,4,0.65,"p0=0.65"
400975679,2018,0.752,116,124,0.873,6,0.75,"p0=0.75"
400975675,2018,0.57,95,102,0.781,2,0.55,"p0=0.55"
400975676,2018,0.521,108,100,0.941,1,0.5,"p0=0.50"
400975677,2018,0.589,102,108,0.51,3,0.6,"p0=0.60"
400975678,2018,0.627,96,103,0.745,4,0.65,"p0=0.65"
400975674,2018,0.839,109,114,0.32,8,0.85,"p0=0.85"
400975672,2018,0.511,113,106,0.943,1,0.5,"p0=0.50"
400975673,2018,0.647,93,94,1,4,0.65,"p0=0.65"
400975671,2018,0.526,108,99,0.892,2,0.55,"p0=0.55"
400975669,2018,0.561,97,108,0.581,2,0.55,"p0=0.55"
